bits,loss
29,0.289295
28,0.289295
27,0.289295
26,0.289295
25,0.289295
24,0.291647
23,0.294692
22,0.298081
21,0.301834
20,0.304644
19,0.30722
18,0.310092
17,0.3135
16,0.317509
15,0.322234
14,0.327931
13,0.334622
12,0.342404
11,0.352112
10,0.362543
9,0.373615
8,0.383729
